Date,Title,Rating,Link,link_type,Edits (because I don't know how to follow a recipe),Tags
10/28/18,Tuscan tuna sandwich,9,https://www.halfbakedharvest.com/tuscan-tuna-sandwich/,web,I mix and match these ingredients and add others depending on my mood,
10/28/18,Greens with mustardy potatoes + eggs,8.5,https://www.bonappetit.com/recipe/summer-greens-mustardy-potatoes-six-minute-egg,web,,
10/21/18,Sausage skillet,7,https://www.epicurious.com/recipes/food/views/10-minute-sausage-skillet-with-cherry-tomatoes-and-broccolini,web,,
10/21/18,Wild rice soup,5,https://pinchofyum.com/instant-pot-wild-rice-soup,web,"Reduced the flour amount (still too thick), added chicken",
10/14/18,Shrimp lo mein,8.5,https://pinchofyum.com/lo-mein,web,Added shrimp,
10/14/18,Clam chowder,8,https://reluctantentertainer.com/best-clam-chowder/,web,,soup
10/7/18,Butter chicken meatballs,7,https://www.halfbakedharvest.com/30-minute-butter-chicken-meatballs,web,,
10/7/18,Poke bowls,9,http://leangreennutritionfiend.com/cauliflower-rice-salmon-poke-bowl/,web,"Sub tuna for salmon, sub rice for cauliflower rice, and made a spicy imatiation crab salad as another topping","hawaiian, japanese"
9/23/18,Pork Chops with Brandied Cherries (NYT),9,,NA,"Sub 1/8 tsp cinnamon, 1/8 dried mustard powder and a pinch of nutmeg for allspice; thin pork chips so I didn’t do step 4 (I just cooked the fruit without the meat); sub plums and nectarines for cherries; sub red wine and balsamic vinegar for brandy; At end added honey and balsamic instead of sherry vinegar.",
9/16/18,Caprese Antipasto (NYT),9,,,,
9/16/18,Spinach feta orzo salad,9,https://www.the-girl-who-ate-everything.com/spinach-feta-orzo-salad,web,"sub roasted, chopped almonds for pine nuts",
9/9/18,Thai noodle salad,9,https://www.feastingathome.com/thai-noodle-salad-with-peanut-sauce/,web,"Added cilantro, mint, thai basil, and sambal oelek; dressing: added a shallot and bit of rice vinegar and upped the soy sauce and sesame oil",
9/2/18,Corn tortillas,9,http://www.rickbayless.com/recipe/corn-tortillas/,web,Don't forget to steam tortillas after cooking,
9/16/18,Sausage peach and onion tray bake,8.5,https://www.rachaelraymag.com/recipe/tray-bake-peaches-vidalia-onions-sausages,web,,
9/9/18,3 cup chicken,9,https://www.angelwongskitchen.com/taiwanese-3-cup-chicken--65279199772647938622-6527965279s257n-b275i-j29965279.html,web,Used chicken thighs ,
9/2/18,Lemon parmasean chicken tray,6.5,https://cafedelites.com/sheet-pan-lemon-parmesan-garlic-chicken-veggies-milanese/,web,,
9/2/18,Carne Asada,8.5,https://www.evernote.com/l/Asa5EPDrhENOE5Ihcx2YULGRLXbitzhMh-o,web,,
9/2/18,Lamb burgers,8.5,https://www.onceuponachef.com/recipes/greekstyle-lamb-burgers.html,web,,
8/19/18,Dutch baby,9,https://www.marthastewart.com/333957/dutch-baby-pancake,web,,"lemon, pancake"
8/19/18,Shrimp corn chowder,9,https://www.lecremedelacrumb.com/shrimp-bacon-corn-chowder/,web,doubled bacon,soup
8/12/18,BLT pasta salad,9,https://emilybites.com/2017/06/avocado-blt-pasta-salad.html,web,,"bacon, side"
8/12/18,Chicken caprese salad,9.5,https://cafedelites.com/chicken-avocado-caprese-salad/,web,,"salad, chicken, tomatoes"
7/15/18,Eggplant meatballs,7.5,https://www.skinnytaste.com/eggplant-meatballs/,web,made own sauce,
7/15/18,Broccoli pizza,8.5,https://smittenkitchen.com/2017/02/broccoli-pizza/,web,,
7/8/18,Neapolitan pizza and dough,9,https://www.seriouseats.com/recipes/2012/07/basic-neapolitan-pizza-dough-recipe.html,web,,italian
7/8/18,Lemon cake,9,https://www.myrecipes.com/recipe/nathans-lemon-cake,web,,dessert
7/1/18,Chicken tikka masala,9.5,https://www.onceuponachef.com/recipes/chicken-tikka-masala.html,web,"sub greek yogurt for marinade (have also subbed coconut milk for yogurt); used mix of breasts and thighs, increased all spices and added red pepper, used two onions: one small diced onion and sliced and added towards end",indian
7/1/18,Naan,8,https://www.halfbakedharvest.com/homemade-naan-step-step-photos/,web,,"side, bread"
7/2/18,Artichoke jalapeno dip,9,https://www.evernote.com/l/AsYe8m3K8PlI3J3XoyuNIR9kNu0T2QbuDY0,web,,side
